shortest to longest half-life,isotopeName,Symbol,massNumber,atomicMassSpecific,percentAbundance,elementName,atomicNumber,neutrons,stable,halfLife-years,halfLife-power10years,halfLife-days,halfLife-hours,halfLife-minutes,halfLife-seconds,halfLife-power10seconds
142,rhodium-101,Rh,,,,rhodirm,45,,,3.3,0,,,,,
208,palladium-107,Pd,,,,Palladium,46,,,6.5,6,,,,,
160,silver-108,Ag,,,,silver,47,,,418,0,,,,,
137,cadmium-109,Cd,,,,Cadmium,48,,,1.267,0,,,,,
234,cadmium-113,Cd,,,,Cadmium,48,,,7.7,15,,,,,
242,cadmium-116,Cd,,,,Cadmium,48,,,31 ± 4,18,,,,,
228,indium-115,In,,,,indium,49,,,441,12,,,,,
189,tin-126,Sn,,,,tin,50,,,230,3,,,,,
,antimony-121,Sb,,,0.57210,antimony,51,,stable,,,,,,,
,antimony-123,Sb,,,0.42790,antimony,51,,stable,,,,,,,
250,tellurium-128,Te,,,,tellurium,52,,,2,24,,,,,
245,tellurium-130,Te,,,,tellurium,52,,,790,18,,,,,
212,iodine-129,I ,,,,iodine,53,,,15.7,6,,,,,
113,iodine-131,I ,,,,iodine,53,,,,,8.02,,,,
248,xenon-136,Xe,,,,xenon,54,,,2.38,21,,,,,
139,caesium-134,Cs,,,,Caesium,55,,,2.0652,0,,,,,
202,caesium-135,Cs,,,,Caesium,55,,,2.3,6,,,,,
151,caesium-137,Cs,,,,Caesium,55,,,30.17,0,,,,,
246,barium-130,Ba,,,,Barium,56,,,1.6,21,,,,,
180,lanthanum-137,La,,,,lanthanum,57,,,60,3,,,,,
224,lanthanum-138,La,,,,lanthanum,57,,,102,9,,,,,
,cerium-136,Ce,136,,0.00185,cerium,58,,stable,,,,,,,
,cerium-138,Ce,138,,0.00251,cerium,58,,stable,,,,,,,
,cerium-140,Ce,140,,0.88450,cerium,58,,stable,,,,,,,
,cerium-142,Ce,142,,0.11110,cerium,58,,stable,,,,,,,
,,,,,,,,,,,,,,,,
,praseodymium-141,Pr,141,,1.00000,praseodymium,59,,stable,,,,,,,
,,,,,,,,,,,,,,,,
232,neodymium-144,Nd,,,,neodynium,60,,,2.29,15,,,,,
238,neodymium-150,Nd,,,,neodynium,60,,,6.7,18,,,,,
,promethium-145,Pm,145,,,promethium,61,,,17.7,,,,,,
,promethium-146,Pm,146,,,promethium,61,,,5.53,,,,,,
,promethium-147,Pm,147,,,promethium,61,,,2.6234,,,,,,
215,samarium-146,Sm,,,,samarium,62,,,68,6,,,,,
225,samarium-147,Sm,,,,samarium,62,,,106,9,,,,,
233,samarium-148,Sm,,,,samarium,62,,,7,15,,,,,
155,samarium-151,Sm,,,,samarsum,62,,,96.6,0,,,,,
237,europium-151,Eu,,,,europium,63,,,5,18,,,,,
200,gadolinium-150,Gd,,,,gadolinium,64,,,1.79,6,,,,,
227,gadolinium-152,Gd,,,,gadolinium,64,,,108,12,,,,,
,terbium-157,Tb,157,,,terbium,65,,,71,,,,,,
,terbium-158,Tb,158,,,terbium,65,,,180,,,,,,
204,dysprosium-154,Dy,,,,dysprosium,66,,,3,6,,,,,
168,holmium-153,Ho,,,,holmium,67,,,4570,0,,,,,
164,holmium-166,Ho,,,,holmium,67,,,1200,0,,,,,
104,erbium-160,Er,,,,erbium,68,,,,,1.191,,,,
101,erbium-165,Er,,,,erbium,68,,,,,,10.36,,,
114,thulium-167,Tm,,,,thulium,69,,,,,9.25,,,,
125,thulium-168,Tm,,,,thulium,69,,,,,93.1,,,,
127,thulium-170,Tm,,,,thulium,69,,,,,128.6,,,,
138,thulium-171,Tm,,,,thulium,69,,,1.92,0,,,,,
,ytterbium-168,Yb,168,,0.00130,ytterbium,70,,stable,,,,,,,
,ytterbium-170,Yb,170,,0.03040,ytterbium,70,,stable,,,,,,,
,ytterbium-171,Yb,171,,0.14280,ytterbium,70,,stable,,,,,,,
,ytterbium-172,Yb,172,,0.21830,ytterbium,70,,stable,,,,,,,
,ytterbium-173,Yb,173,,0.16130,ytterbium,70,,stable,,,,,,,
,ytterbium-174,Yb,174,,0.31830,ytterbium,70,,stable,,,,,,,
,ytterbium-176,Yb,176,,0.12760,ytterbium,70,,stable,,,,,,,
221,lutetium-176,Lu,,,,lutetium,71,,,38.5,9,,,,,
230,hafnium-174,Hf,,,,hafnium,72,,,2,15,,,,,
229,tantalum-180m,Ta,,,,tantalum,73,,,1,15,,,,,
236,tungsten-180,W,,,,tungsten,74,,,1.8 ± .2,18,,,,,
186,rhenium-186,Re,,,,rhenium,75,,,200,3,,,,,
222,rhenium-187,Re,,,,rhenium,75,,,41,9,,,,,
231,osmium-186,Os,,,,osmium,76,,,2,15,,,,,
,iridium-191,Ir,191,,0.37300,iridium,77,,stable,,,,,,,
,iridium-193,Ir,193,,0.67200,iridium,77,,stable,,,,,,,
226,platinum-190,Pt,,,,platinum,78,,,650,9,,,,,
130,gold-195,Au,,,,gold,79,,,,,186.1,,,,
112,gold-196,Au,,,,gold,79,,,,,6.183,,,,
