,Isotope,,,,,,,,,,,Half-life,,,,,,
shortest to longest half-life,Isotope Name,Symbol,Mass number (Z) ,Atomic Mass (specific),Percent Abundance,Element Name,Atomic Number (A),Neutrons (n),,,Stable,years,years power of 10,days,hours,minutes,seconds,seconds power of 10
67,helium-8,He,8,8.033922,,helium,2,,,,,,,,,,119,-3
18,helium-9,He,9,9.04395,,helium,2,,,,,,,,,,7,-21
230,hafnium-174,Hf,,,,hafnium,72,,,,,2,15,,,,,
,,Hf,174,173.940 0461,  0.0016,hafnium,,,,,,,,,,,,
,,Hf,176,175.941 4076,  0.0526,hafnium,,,,,,,,,,,,
,,Hf,177,176.943 2277,  0.1860,hafnium,,,,,,,,,,,,
,,Hf,178,177.943 7058,  0.2728,hafnium,,,,,,,,,,,,
,,Hf,179,178.945 8232,  0.1362,hafnium,,,,,,,,,,,,
,,Hf,180,179.946 5570,  0.3508,hafnium,,,,,,,,,,,,
,mercury-198,Hg,198,197.966 768 60,0.0997,mercury,80,,,,stable,,,,,,,
,mercury-199,Hg,199,198.968 280 64,0.1687,mercury,80,,,,stable,,,,,,,
,mercury-200,Hg,200,199.968 326 59,0.231,mercury,80,,,,stable,,,,,,,
,mercury-201,Hg,201,200.970 302 84,0.1318,mercury,80,,,,stable,,,,,,,
,mercury-202,Hg,202,201.970 643 40,0.2986,mercury,80,,,,stable,,,,,,,
,mercury-204,Hg,204,203.973 493 98,0.0687,mercury,80,,,,stable,,,,,,,
,,Hg,196,195.965 8326,  0.0015,,,,,,,,,,,,,
168,holmium-153,Ho,,,,holmium,67,,,,,4570,0,,,,,
164,holmium-166,Ho,,,,holmium,67,,,,,1200,0,,,,,
,,Ho,165,164.930 3288,  1,holmium,,,,,,,,,,,,
209,hafnium-182,Hs,,,,hafnium,108,,,,,9,6,,,,,
42,hassium-263,Hs,,,,hassium,108,,,,,,,,,,760,-6
40,hassium-264,Hs,,,,hassium,108,,,,,,,,,,540,-6
45,hassium-265,Hs,,,,hassium,108,,,,,,,,,,2,-3
,,I,127,126.904 4719,  1,hassium,,,,,,,,,,,,
212,iodine-129,I ,,,,iodine,53,,,,,15.7,6,,,,,
113,iodine-131,I ,,,,iodine,53,,,,,,,8.02,,,,
228,indium-115,In,,,,indium,49,,,,,441,12,,,,,
,,In,113,112.904 061 84,  0.0429,indium,,,,,,,,,,,,
,,In,115,114.903 878 776,  0.9571,indium,,,,,,,,,,,,
,iridium-191,Ir,191,,0.373,iridium,77,,,,stable,,,,,,,
,iridium-193,Ir,193,,0.672,iridium,77,,,,stable,,,,,,,
,,Ir,191,190.960 5893,  0.373,iridium,,,,,,,,,,,,
